Kernel_cpu_0	Kernel_cpu_1	Kernel_cpu_2	Kernel_cpu_3	Kernel_cpu_4	Kernel_cpu_5
200032	200032	200032	200032	200032	200032
200036	200036	200032	200032	200036	200036
200032	200028	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
200036	200036	200032	200032	200036	200036
200032	200032	200032	200032	200036	200032
200032	200032	200036	200036	200032	200032
200036	200036	200036	200036	200032	200036
