User_cpu_0	User_cpu_1	User_cpu_2	User_cpu_3	User_cpu_4	User_cpu_5
200064	200060	200060	200060	200056	200060
200056	200056	200060	200060	200048	200056
200056	200052	200056	200064	200056	200064
200060	200056	200060	200056	200052	200052
200060	200056	200060	205956	200048	200056
200056	200056	200056	200056	200052	200056
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	200056	200056	200056	200052	200056
200060	200056	200060	200056	200052	200056
200060	200052	200060	200060	200052	200056
200056	200056	200056	200056	200048	200052
200060	200056	200056	200060	200052	200056
200056	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200056
200060	200056	200060	200056	200052	200052
200060	200056	200060	200060	200048	200056
200056	200056	200056	200056	200052	200056
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	200056	200056	200056	200052	200056
200060	200056	200060	200056	200052	200056
200060	200052	200060	200060	200052	200056
200056	200056	200056	200056	200052	200052
200060	200056	200056	200060	200048	206500
200056	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200052
200060	200056	200060	200056	200052	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200056	200052	200056
200060	200052	200056	200060	200052	200052
200056	200056	200060	200060	200048	200056
200056	200056	200056	200056	200052	200056
200060	200056	200060	200056	200052	200056
200060	200052	200060	200060	200052	200052
200056	200056	200056	200056	200052	200056
200060	200056	200056	200060	200048	200056
200056	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200056
200060	200056	200060	200056	200052	200052
200060	200056	200060	200060	200052	200056
200056	200056	200056	200056	200052	200056
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	200056	200056	200056	200048	200056
200060	200056	200060	200056	200052	200056
200060	200052	200060	200060	200052	200056
200056	200056	200056	200056	200052	200052
200060	200056	200056	200060	200052	200056
200056	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200056
200060	200056	200060	200056	200048	200052
200060	200056	200060	200060	200052	200056
200056	200056	200056	200056	200052	200056
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	200056	200056	200056	200048	200056
200060	200056	200060	200056	200052	200056
200060	200052	200060	200060	200052	200056
200056	200056	200056	200056	200052	200052
200060	200056	200056	200060	200052	200056
200056	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200056
200060	200056	200060	200056	200052	200052
200060	200056	200060	200060	200048	200056
200056	200056	200056	200056	200052	200056
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	206192	200056	200056	200052	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200056	200048	200052
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200056
200056	200056	200056	200056	200052	200056
200060	200056	200060	200056	200052	200052
200060	200052	200060	200060	200048	200056
200056	200060	200056	200056	200052	200056
200060	200052	200056	200060	200052	200056
200056	200052	200060	200060	200052	200052
200056	200060	200056	200056	200052	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200056	200052	200052
200060	200052	200056	200060	200048	200056
200056	200064	200060	200060	200052	200056
200056	200052	200056	200056	200052	200056
200060	200056	200060	200056	200052	200052
200060	200056	200060	200060	200052	200056
200056	200056	200056	200056	205740	200056
200060	200052	200056	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	200056	200056	200056	200052	200056
200060	200064	200060	200056	200052	200056
205852	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200052
200056	200056	200056	200060	200052	200056
200056	200056	200060	200060	200056	200056
200060	200056	200056	200056	200052	200056
200060	200052	200060	200056	200052	200052
200056	200056	200060	200060	200052	200056
200060	200068	200056	200056	200052	200056
200056	200056	200056	200060	200048	200056
200056	200052	200060	200060	200052	200052
200060	200056	200056	200056	200052	200056
200060	200056	200060	200056	200060	200056
200056	200056	200060	200060	200048	200056
200060	200052	200056	200056	200052	200052
200056	200060	200056	200060	200052	200056
200056	200052	200060	200060	200052	200056
200060	200052	200056	200056	200052	200056
200060	200060	200060	200056	200052	200052
200056	200052	200060	200060	200052	200056
200060	200056	200056	200056	200052	200056
200056	200056	200056	200060	200048	200056
200056	200052	200060	200060	200052	200052
200060	200056	205864	200056	200052	200056
200060	200056	200060	200056	200052	200056
200056	200056	200056	200060	200052	200056
200060	200052	200060	200056	200052	200052
200056	200056	200060	200060	200052	200056
200056	200056	200056	200060	200056	200056
200060	200056	200056	200056	200052	200056
200060	200052	200060	200056	200052	200052
200056	200060	200056	205976	200052	200056
200060	200052	200060	200060	200052	200060
200056	200052	200060	200060	200048	200056
200056	200060	200056	200056	200052	200052
200060	200052	200056	200060	200052	200056
200060	200056	200060	200056	200060	200056
200056	200056	200056	200056	200048	200056
200060	200052	200060	200060	200052	200052
200056	200056	200060	200060	200052	200056
200056	200056	200056	200056	200052	200064
200060	200056	200056	200060	200052	200056
200060	200052	200060	200056	200052	200056
200056	200060	200056	200056	200052	200052
200060	200052	200060	200060	200060	200056
200056	200052	200060	200060	200048	200056
200056	200060	200056	200056	200052	200056
200060	200052	200056	200060	200052	200052
200060	200056	200060	200056	200052	200064
200056	200056	200056	200056	200052	200056
200060	200052	200060	200060	200052	200056
200056	200056	200060	200060	200052	205956
200056	200056	200056	200056	200056	200056
200060	200056	200056	200060	200052	200056
200060	200052	200060	200056	200052	200052
200056	200060	200056	200056	200052	200056
200060	200052	200060	200060	200052	200064
200056	200052	200060	200060	200052	200056
200056	200060	200056	200056	200052	200056
200060	200052	200056	200060	200048	200052
200060	200056	200060	200056	200060	200056
200056	200056	200056	200056	200052	200056
200060	200052	200060	200060	200052	200056
200056	200056	200060	200060	200052	200052
200056	200056	200056	200056	200048	200064
200060	200056	200056	200060	200052	200056
200060	200052	200060	200056	200052	200056
200056	200056	200056	200056	200052	200056
200060	200056	200060	200060	200060	200052
200056	200056	200060	200060	200052	200056
200056	200052	200056	200056	200052	200056
230452	200060	200056	200060	200048	200056
200288	200052	200060	200056	200052	200060
200060	200052	200056	200056	200052	200056
